annotator,id,dataset,ids,category,emotion_other,emotion_anchor
13,dagstuhl-249,dagstuhl,"0,2",c,0,1
13,dagstuhl-249,dagstuhl,"3,1",c,0,1
13,dagstuhl-249,dagstuhl,"3,2",c,0,1
14,dagstuhl-249,dagstuhl,"0,2",n,2,0
14,dagstuhl-249,dagstuhl,"3,1",n,2,0
14,dagstuhl-249,dagstuhl,"3,2",c,2,0
15,dagstuhl-249,dagstuhl,"0,2",c,2,0
15,dagstuhl-249,dagstuhl,"3,1",c,1,0
15,dagstuhl-249,dagstuhl,"3,2",c,2,0
16,dagstuhl-249,dagstuhl,"0,2",c,0,0
16,dagstuhl-249,dagstuhl,"3,1",c,0,0
16,dagstuhl-249,dagstuhl,"3,2",c,0,0
4,dagstuhl-249,dagstuhl,"0,2",c,2,0
4,dagstuhl-249,dagstuhl,"3,1",c,0,0
4,dagstuhl-249,dagstuhl,"3,2",c,2,0
17,dagstuhl-25,dagstuhl,"0,2",c,0,1
17,dagstuhl-25,dagstuhl,"3,1",c,1,1
17,dagstuhl-25,dagstuhl,"3,2",p,0,1
18,dagstuhl-25,dagstuhl,"0,2",c,0,2
18,dagstuhl-25,dagstuhl,"3,1",n,2,2
18,dagstuhl-25,dagstuhl,"3,2",n,2,2
19,dagstuhl-25,dagstuhl,"0,2",c,1,1
19,dagstuhl-25,dagstuhl,"3,1",c,1,1
19,dagstuhl-25,dagstuhl,"3,2",c,1,1
4,dagstuhl-25,dagstuhl,"0,2",c,2,1
4,dagstuhl-25,dagstuhl,"3,1",c,1,1
4,dagstuhl-25,dagstuhl,"3,2",c,2,1
20,dagstuhl-25,dagstuhl,"0,2",c,0,0
20,dagstuhl-25,dagstuhl,"3,1",c,0,0
20,dagstuhl-25,dagstuhl,"3,2",c,0,0
13,dagstuhl-250,dagstuhl,"0,2",c,0,0
13,dagstuhl-250,dagstuhl,"3,1",c,0,0
13,dagstuhl-250,dagstuhl,"3,2",c,0,0
14,dagstuhl-250,dagstuhl,"0,2",c,0,2
14,dagstuhl-250,dagstuhl,"3,1",n,2,2
14,dagstuhl-250,dagstuhl,"3,2",n,2,2
15,dagstuhl-250,dagstuhl,"0,2",c,2,1
15,dagstuhl-250,dagstuhl,"3,1",c,0,1
15,dagstuhl-250,dagstuhl,"3,2",c,2,1
16,dagstuhl-250,dagstuhl,"0,2",c,0,0
16,dagstuhl-250,dagstuhl,"3,1",c,0,0
16,dagstuhl-250,dagstuhl,"3,2",c,0,0
4,dagstuhl-250,dagstuhl,"0,2",c,2,0
4,dagstuhl-250,dagstuhl,"3,1",c,0,0
4,dagstuhl-250,dagstuhl,"3,2",c,2,0
37,dagstuhl-251,dagstuhl,"0,2",p,1,1
37,dagstuhl-251,dagstuhl,"3,1",n,0,1
37,dagstuhl-251,dagstuhl,"3,2",n,2,1
38,dagstuhl-251,dagstuhl,"0,2",c,2,1
38,dagstuhl-251,dagstuhl,"3,1",n,0,1
38,dagstuhl-251,dagstuhl,"3,2",n,2,1
39,dagstuhl-251,dagstuhl,"0,2",c,2,2
39,dagstuhl-251,dagstuhl,"3,1",n,2,2
39,dagstuhl-251,dagstuhl,"3,2",n,0,2
40,dagstuhl-251,dagstuhl,"0,2",p,2,1
40,dagstuhl-251,dagstuhl,"3,1",c,0,1
40,dagstuhl-251,dagstuhl,"3,2",c,0,1
4,dagstuhl-251,dagstuhl,"0,2",c,2,0
4,dagstuhl-251,dagstuhl,"3,1",n,0,0
4,dagstuhl-251,dagstuhl,"3,2",n,2,0
13,dagstuhl-27,dagstuhl,"0,2",c,2,2
13,dagstuhl-27,dagstuhl,"3,1",c,2,2
13,dagstuhl-27,dagstuhl,"3,2",c,2,2
14,dagstuhl-27,dagstuhl,"0,2",c,2,2
14,dagstuhl-27,dagstuhl,"3,1",n,1,2
14,dagstuhl-27,dagstuhl,"3,2",n,2,2
15,dagstuhl-27,dagstuhl,"0,2",c,1,0
15,dagstuhl-27,dagstuhl,"3,1",c,2,0
15,dagstuhl-27,dagstuhl,"3,2",c,2,0
16,dagstuhl-27,dagstuhl,"0,2",c,0,0
16,dagstuhl-27,dagstuhl,"3,1",c,0,0
16,dagstuhl-27,dagstuhl,"3,2",c,2,0
4,dagstuhl-27,dagstuhl,"0,2",c,0,0
4,dagstuhl-27,dagstuhl,"3,1",c,0,0
4,dagstuhl-27,dagstuhl,"3,2",c,0,0
25,dagstuhl-28,dagstuhl,"0,2",c,1,1
25,dagstuhl-28,dagstuhl,"3,1",c,1,1
25,dagstuhl-28,dagstuhl,"3,2",c,1,1
26,dagstuhl-28,dagstuhl,"0,2",c,0,0
26,dagstuhl-28,dagstuhl,"3,1",n,0,0
26,dagstuhl-28,dagstuhl,"3,2",n,2,0
27,dagstuhl-28,dagstuhl,"0,2",p,1,2
27,dagstuhl-28,dagstuhl,"3,1",c,2,2
27,dagstuhl-28,dagstuhl,"3,2",c,2,2
28,dagstuhl-28,dagstuhl,"0,2",p,1,1
28,dagstuhl-28,dagstuhl,"3,1",p,1,1
28,dagstuhl-28,dagstuhl,"3,2",c,1,1
4,dagstuhl-28,dagstuhl,"0,2",c,1,1
4,dagstuhl-28,dagstuhl,"3,1",c,0,1
4,dagstuhl-28,dagstuhl,"3,2",c,0,1
13,dagstuhl-40,dagstuhl,"0,2",c,1,1
13,dagstuhl-40,dagstuhl,"3,1",c,1,1
13,dagstuhl-40,dagstuhl,"3,2",c,1,1
14,dagstuhl-40,dagstuhl,"0,2",c,2,2
14,dagstuhl-40,dagstuhl,"3,1",n,2,2
14,dagstuhl-40,dagstuhl,"3,2",n,2,2
15,dagstuhl-40,dagstuhl,"0,2",c,1,1
15,dagstuhl-40,dagstuhl,"3,1",n,0,1
15,dagstuhl-40,dagstuhl,"3,2",n,0,1
16,dagstuhl-40,dagstuhl,"0,2",c,1,1
16,dagstuhl-40,dagstuhl,"3,1",c,1,1
16,dagstuhl-40,dagstuhl,"3,2",c,1,1
4,dagstuhl-40,dagstuhl,"0,2",c,0,0
4,dagstuhl-40,dagstuhl,"3,1",c,0,0
4,dagstuhl-40,dagstuhl,"3,2",c,0,0
37,dagstuhl-43,dagstuhl,"0,2",c,0,0
37,dagstuhl-43,dagstuhl,"3,1",n,0,0
37,dagstuhl-43,dagstuhl,"3,2",c,0,0
38,dagstuhl-43,dagstuhl,"0,2",c,1,1
38,dagstuhl-43,dagstuhl,"3,1",c,0,1
38,dagstuhl-43,dagstuhl,"3,2",c,2,1
39,dagstuhl-43,dagstuhl,"0,2",c,0,0
39,dagstuhl-43,dagstuhl,"3,1",c,0,0
39,dagstuhl-43,dagstuhl,"3,2",c,0,0
40,dagstuhl-43,dagstuhl,"0,2",c,0,0
40,dagstuhl-43,dagstuhl,"3,1",c,0,0
40,dagstuhl-43,dagstuhl,"3,2",c,0,0
4,dagstuhl-43,dagstuhl,"0,2",c,0,0
4,dagstuhl-43,dagstuhl,"3,1",c,0,0
4,dagstuhl-43,dagstuhl,"3,2",c,0,0
29,dagstuhl-46,dagstuhl,"0,2",c,2,2
29,dagstuhl-46,dagstuhl,"3,1",n,2,2
29,dagstuhl-46,dagstuhl,"3,2",c,2,2
30,dagstuhl-46,dagstuhl,"0,2",c,0,0
30,dagstuhl-46,dagstuhl,"3,1",n,0,0
30,dagstuhl-46,dagstuhl,"3,2",c,0,0
31,dagstuhl-46,dagstuhl,"0,2",c,2,2
31,dagstuhl-46,dagstuhl,"3,1",c,2,2
31,dagstuhl-46,dagstuhl,"3,2",c,2,2
32,dagstuhl-46,dagstuhl,"0,2",c,0,0
32,dagstuhl-46,dagstuhl,"3,1",n,0,0
32,dagstuhl-46,dagstuhl,"3,2",n,0,0
4,dagstuhl-46,dagstuhl,"0,2",c,2,0
4,dagstuhl-46,dagstuhl,"3,1",c,0,0
4,dagstuhl-46,dagstuhl,"3,2",c,2,0
33,dagstuhl-47,dagstuhl,"0,2",c,1,1
33,dagstuhl-47,dagstuhl,"3,1",c,2,1
33,dagstuhl-47,dagstuhl,"3,2",c,2,1
34,dagstuhl-47,dagstuhl,"0,2",p,1,1
34,dagstuhl-47,dagstuhl,"3,1",c,1,1
34,dagstuhl-47,dagstuhl,"3,2",p,1,1
35,dagstuhl-47,dagstuhl,"0,2",p,0,1
35,dagstuhl-47,dagstuhl,"3,1",c,1,1
35,dagstuhl-47,dagstuhl,"3,2",c,1,1
36,dagstuhl-47,dagstuhl,"0,2",c,2,1
36,dagstuhl-47,dagstuhl,"3,1",n,1,1
36,dagstuhl-47,dagstuhl,"3,2",c,2,1
4,dagstuhl-47,dagstuhl,"0,2",n,0,0
4,dagstuhl-47,dagstuhl,"3,1",c,0,0
4,dagstuhl-47,dagstuhl,"3,2",n,0,0
9,dagstuhl-49,dagstuhl,"0,2",p,2,0
9,dagstuhl-49,dagstuhl,"3,1",c,0,0
9,dagstuhl-49,dagstuhl,"3,2",p,2,0
10,dagstuhl-49,dagstuhl,"0,2",c,2,0
10,dagstuhl-49,dagstuhl,"3,1",c,0,0
10,dagstuhl-49,dagstuhl,"3,2",p,2,0
4,dagstuhl-49,dagstuhl,"0,2",n,0,0
4,dagstuhl-49,dagstuhl,"3,1",c,0,0
4,dagstuhl-49,dagstuhl,"3,2",n,0,0
11,dagstuhl-49,dagstuhl,"0,2",p,2,2
11,dagstuhl-49,dagstuhl,"3,1",c,2,2
11,dagstuhl-49,dagstuhl,"3,2",p,2,2
12,dagstuhl-49,dagstuhl,"0,2",c,2,2
12,dagstuhl-49,dagstuhl,"3,1",c,2,2
12,dagstuhl-49,dagstuhl,"3,2",n,1,2
21,dagstuhl-5,dagstuhl,"0,2",c,0,0
21,dagstuhl-5,dagstuhl,"3,1",c,2,0
21,dagstuhl-5,dagstuhl,"3,2",c,2,0
22,dagstuhl-5,dagstuhl,"0,2",c,1,1
22,dagstuhl-5,dagstuhl,"3,1",c,1,1
22,dagstuhl-5,dagstuhl,"3,2",c,1,1
23,dagstuhl-5,dagstuhl,"0,2",p,2,0
23,dagstuhl-5,dagstuhl,"3,1",p,2,0
23,dagstuhl-5,dagstuhl,"3,2",c,2,0
24,dagstuhl-5,dagstuhl,"0,2",c,0,0
24,dagstuhl-5,dagstuhl,"3,1",c,0,0
24,dagstuhl-5,dagstuhl,"3,2",p,0,0
4,dagstuhl-5,dagstuhl,"0,2",c,2,2
4,dagstuhl-5,dagstuhl,"3,1",c,2,2
4,dagstuhl-5,dagstuhl,"3,2",c,2,2
5,dagstuhl-56,dagstuhl,"0,2",c,1,1
5,dagstuhl-56,dagstuhl,"3,1",c,1,1
5,dagstuhl-56,dagstuhl,"3,2",c,1,1
6,dagstuhl-56,dagstuhl,"0,2",c,0,0
6,dagstuhl-56,dagstuhl,"3,1",n,0,0
6,dagstuhl-56,dagstuhl,"3,2",n,0,0
7,dagstuhl-56,dagstuhl,"0,2",p,2,0
7,dagstuhl-56,dagstuhl,"3,1",n,1,0
7,dagstuhl-56,dagstuhl,"3,2",n,0,0
8,dagstuhl-56,dagstuhl,"0,2",p,0,1
8,dagstuhl-56,dagstuhl,"3,1",c,0,1
8,dagstuhl-56,dagstuhl,"3,2",c,2,1
4,dagstuhl-56,dagstuhl,"0,2",n,2,1
4,dagstuhl-56,dagstuhl,"3,1",n,2,1
4,dagstuhl-56,dagstuhl,"3,2",n,2,1
9,dagstuhl-59,dagstuhl,"0,2",c,2,2
9,dagstuhl-59,dagstuhl,"3,1",n,2,2
9,dagstuhl-59,dagstuhl,"3,2",c,2,2
10,dagstuhl-59,dagstuhl,"0,2",c,2,2
10,dagstuhl-59,dagstuhl,"3,1",n,2,2
10,dagstuhl-59,dagstuhl,"3,2",n,2,2
4,dagstuhl-59,dagstuhl,"0,2",p,2,2
4,dagstuhl-59,dagstuhl,"3,1",c,2,2
4,dagstuhl-59,dagstuhl,"3,2",p,2,2
11,dagstuhl-59,dagstuhl,"0,2",c,1,0
11,dagstuhl-59,dagstuhl,"3,1",n,1,0
11,dagstuhl-59,dagstuhl,"3,2",c,1,0
12,dagstuhl-59,dagstuhl,"0,2",c,2,2
12,dagstuhl-59,dagstuhl,"3,1",n,1,2
12,dagstuhl-59,dagstuhl,"3,2",n,0,2
17,dagstuhl-60,dagstuhl,"0,2",c,0,0
17,dagstuhl-60,dagstuhl,"3,1",n,0,0
17,dagstuhl-60,dagstuhl,"3,2",c,1,0
18,dagstuhl-60,dagstuhl,"0,2",c,0,1
18,dagstuhl-60,dagstuhl,"3,1",n,0,1
18,dagstuhl-60,dagstuhl,"3,2",n,0,1
19,dagstuhl-60,dagstuhl,"0,2",n,1,1
19,dagstuhl-60,dagstuhl,"3,1",n,1,1
19,dagstuhl-60,dagstuhl,"3,2",n,1,1
4,dagstuhl-60,dagstuhl,"0,2",c,1,1
4,dagstuhl-60,dagstuhl,"3,1",c,1,1
4,dagstuhl-60,dagstuhl,"3,2",c,2,1
20,dagstuhl-60,dagstuhl,"0,2",p,2,0
20,dagstuhl-60,dagstuhl,"3,1",c,0,0
20,dagstuhl-60,dagstuhl,"3,2",c,0,0
25,dagstuhl-61,dagstuhl,"0,2",p,2,2
25,dagstuhl-61,dagstuhl,"3,1",n,2,2
25,dagstuhl-61,dagstuhl,"3,2",p,2,2
26,dagstuhl-61,dagstuhl,"0,2",p,1,1
26,dagstuhl-61,dagstuhl,"3,1",c,0,1
26,dagstuhl-61,dagstuhl,"3,2",p,2,1
27,dagstuhl-61,dagstuhl,"0,2",p,1,2
27,dagstuhl-61,dagstuhl,"3,1",p,1,2
27,dagstuhl-61,dagstuhl,"3,2",p,1,2
28,dagstuhl-61,dagstuhl,"0,2",c,2,2
28,dagstuhl-61,dagstuhl,"3,1",c,2,2
28,dagstuhl-61,dagstuhl,"3,2",c,2,2
4,dagstuhl-61,dagstuhl,"0,2",c,2,2
4,dagstuhl-61,dagstuhl,"3,1",c,2,2
4,dagstuhl-61,dagstuhl,"3,2",c,2,2
21,dagstuhl-66,dagstuhl,"0,2",p,2,1
21,dagstuhl-66,dagstuhl,"3,1",c,1,1
21,dagstuhl-66,dagstuhl,"3,2",c,2,1
22,dagstuhl-66,dagstuhl,"0,2",p,0,1
22,dagstuhl-66,dagstuhl,"3,1",c,0,1
22,dagstuhl-66,dagstuhl,"3,2",c,0,1
23,dagstuhl-66,dagstuhl,"0,2",p,0,1
23,dagstuhl-66,dagstuhl,"3,1",c,2,1
23,dagstuhl-66,dagstuhl,"3,2",p,0,1
24,dagstuhl-66,dagstuhl,"0,2",p,0,1
24,dagstuhl-66,dagstuhl,"3,1",c,1,1
24,dagstuhl-66,dagstuhl,"3,2",p,0,1
4,dagstuhl-66,dagstuhl,"0,2",n,1,1
4,dagstuhl-66,dagstuhl,"3,1",n,0,1
4,dagstuhl-66,dagstuhl,"3,2",n,2,1
25,dagstuhl-96,dagstuhl,"0,2",p,2,2
25,dagstuhl-96,dagstuhl,"3,1",p,2,2
25,dagstuhl-96,dagstuhl,"3,2",p,2,2
26,dagstuhl-96,dagstuhl,"0,2",c,2,2
26,dagstuhl-96,dagstuhl,"3,1",c,2,2
26,dagstuhl-96,dagstuhl,"3,2",c,2,2
27,dagstuhl-96,dagstuhl,"0,2",p,1,1
27,dagstuhl-96,dagstuhl,"3,1",p,2,1
27,dagstuhl-96,dagstuhl,"3,2",p,2,1
28,dagstuhl-96,dagstuhl,"0,2",c,2,2
28,dagstuhl-96,dagstuhl,"3,1",c,2,2
28,dagstuhl-96,dagstuhl,"3,2",c,2,2
4,dagstuhl-96,dagstuhl,"0,2",c,2,2
4,dagstuhl-96,dagstuhl,"3,1",c,2,2
4,dagstuhl-96,dagstuhl,"3,2",c,2,2
41,defabel-113,defabel,"0,2",n,2,0
41,defabel-113,defabel,"3,1",n,0,0
41,defabel-113,defabel,"3,2",n,2,0
42,defabel-113,defabel,"0,2",c,0,0
42,defabel-113,defabel,"3,1",c,0,0
42,defabel-113,defabel,"3,2",c,0,0
43,defabel-113,defabel,"0,2",n,1,2
43,defabel-113,defabel,"3,1",n,1,2
43,defabel-113,defabel,"3,2",n,1,2
4,defabel-113,defabel,"0,2",c,0,0
4,defabel-113,defabel,"3,1",p,0,0
4,defabel-113,defabel,"3,2",c,0,0
44,defabel-113,defabel,"0,2",n,2,0
44,defabel-113,defabel,"3,1",c,0,0
44,defabel-113,defabel,"3,2",n,2,0
45,defabel-132,defabel,"0,2",n,2,1
45,defabel-132,defabel,"3,1",c,2,1
45,defabel-132,defabel,"3,2",n,2,1
46,defabel-132,defabel,"0,2",p,0,0
46,defabel-132,defabel,"3,1",p,2,0
46,defabel-132,defabel,"3,2",p,0,0
47,defabel-132,defabel,"0,2",n,0,0
47,defabel-132,defabel,"3,1",p,0,0
47,defabel-132,defabel,"3,2",p,2,0
4,defabel-132,defabel,"0,2",n,1,1
4,defabel-132,defabel,"3,1",c,0,1
4,defabel-132,defabel,"3,2",c,0,1
44,defabel-132,defabel,"0,2",p,2,0
44,defabel-132,defabel,"3,1",p,0,0
44,defabel-132,defabel,"3,2",p,2,0
48,defabel-168,defabel,"0,2",n,2,1
48,defabel-168,defabel,"3,1",n,0,1
48,defabel-168,defabel,"3,2",n,2,1
49,defabel-168,defabel,"0,2",c,2,2
49,defabel-168,defabel,"3,1",c,2,2
49,defabel-168,defabel,"3,2",c,2,2
50,defabel-168,defabel,"0,2",n,2,1
50,defabel-168,defabel,"3,1",n,0,1
50,defabel-168,defabel,"3,2",n,2,1
4,defabel-168,defabel,"0,2",c,2,0
4,defabel-168,defabel,"3,1",c,0,0
4,defabel-168,defabel,"3,2",c,2,0
44,defabel-168,defabel,"0,2",c,2,2
44,defabel-168,defabel,"3,1",p,0,2
44,defabel-168,defabel,"3,2",c,2,2
51,defabel-178,defabel,"0,2",p,0,2
51,defabel-178,defabel,"3,1",n,0,2
51,defabel-178,defabel,"3,2",p,1,2
52,defabel-178,defabel,"0,2",c,2,0
52,defabel-178,defabel,"3,1",c,0,0
52,defabel-178,defabel,"3,2",c,2,0
53,defabel-178,defabel,"0,2",n,0,0
53,defabel-178,defabel,"3,1",c,0,0
53,defabel-178,defabel,"3,2",n,0,0
4,defabel-178,defabel,"0,2",n,0,0
4,defabel-178,defabel,"3,1",c,0,0
4,defabel-178,defabel,"3,2",n,0,0
44,defabel-178,defabel,"0,2",n,2,0
44,defabel-178,defabel,"3,1",c,0,0
44,defabel-178,defabel,"3,2",n,2,0
54,defabel-202,defabel,"0,2",c,1,1
54,defabel-202,defabel,"3,1",c,1,1
54,defabel-202,defabel,"3,2",c,1,1
55,defabel-202,defabel,"0,2",c,1,1
55,defabel-202,defabel,"3,1",p,1,1
55,defabel-202,defabel,"3,2",p,1,1
56,defabel-202,defabel,"0,2",n,2,0
56,defabel-202,defabel,"3,1",c,0,0
56,defabel-202,defabel,"3,2",n,2,0
4,defabel-202,defabel,"0,2",n,2,0
4,defabel-202,defabel,"3,1",c,0,0
4,defabel-202,defabel,"3,2",c,2,0
44,defabel-202,defabel,"0,2",c,2,0
44,defabel-202,defabel,"3,1",p,0,0
44,defabel-202,defabel,"3,2",c,2,0
51,defabel-21,defabel,"0,2",p,2,2
51,defabel-21,defabel,"3,1",c,1,2
51,defabel-21,defabel,"3,2",n,2,2
52,defabel-21,defabel,"0,2",p,2,0
52,defabel-21,defabel,"3,1",c,0,0
52,defabel-21,defabel,"3,2",c,2,0
53,defabel-21,defabel,"0,2",n,2,2
53,defabel-21,defabel,"3,1",n,1,2
53,defabel-21,defabel,"3,2",n,0,2
4,defabel-21,defabel,"0,2",n,2,0
4,defabel-21,defabel,"3,1",c,0,0
4,defabel-21,defabel,"3,2",n,2,0
44,defabel-21,defabel,"0,2",c,2,0
44,defabel-21,defabel,"3,1",c,0,0
44,defabel-21,defabel,"3,2",c,2,0
41,defabel-211,defabel,"0,2",c,2,2
41,defabel-211,defabel,"3,1",c,0,2
41,defabel-211,defabel,"3,2",p,0,2
42,defabel-211,defabel,"0,2",c,2,2
42,defabel-211,defabel,"3,1",c,2,2
42,defabel-211,defabel,"3,2",c,2,2
43,defabel-211,defabel,"0,2",n,2,2
43,defabel-211,defabel,"3,1",c,2,2
43,defabel-211,defabel,"3,2",c,2,2
4,defabel-211,defabel,"0,2",c,2,0
4,defabel-211,defabel,"3,1",c,0,0
4,defabel-211,defabel,"3,2",c,2,0
44,defabel-211,defabel,"0,2",p,2,0
44,defabel-211,defabel,"3,1",p,0,0
44,defabel-211,defabel,"3,2",p,2,0
57,defabel-216,defabel,"0,2",c,2,2
57,defabel-216,defabel,"3,1",n,0,2
57,defabel-216,defabel,"3,2",n,2,2
58,defabel-216,defabel,"0,2",c,2,0
58,defabel-216,defabel,"3,1",n,0,0
58,defabel-216,defabel,"3,2",n,2,0
59,defabel-216,defabel,"0,2",c,2,2
59,defabel-216,defabel,"3,1",c,2,2
59,defabel-216,defabel,"3,2",c,2,2
4,defabel-216,defabel,"0,2",c,0,0
4,defabel-216,defabel,"3,1",c,0,0
4,defabel-216,defabel,"3,2",n,0,0
44,defabel-216,defabel,"0,2",c,2,0
44,defabel-216,defabel,"3,1",c,0,0
44,defabel-216,defabel,"3,2",c,2,0
60,defabel-22,defabel,"0,2",c,2,0
60,defabel-22,defabel,"3,1",n,0,0
60,defabel-22,defabel,"3,2",n,2,0
61,defabel-22,defabel,"0,2",c,0,0
61,defabel-22,defabel,"3,1",c,0,0
61,defabel-22,defabel,"3,2",c,0,0
62,defabel-22,defabel,"0,2",c,2,0
62,defabel-22,defabel,"3,1",n,0,0
62,defabel-22,defabel,"3,2",n,2,0
4,defabel-22,defabel,"0,2",c,2,0
4,defabel-22,defabel,"3,1",c,0,0
4,defabel-22,defabel,"3,2",c,2,0
44,defabel-22,defabel,"0,2",c,0,0
44,defabel-22,defabel,"3,1",c,0,0
44,defabel-22,defabel,"3,2",c,0,0
45,defabel-227,defabel,"0,2",n,2,0
45,defabel-227,defabel,"3,1",c,0,0
45,defabel-227,defabel,"3,2",n,2,0
46,defabel-227,defabel,"0,2",n,2,0
46,defabel-227,defabel,"3,1",n,0,0
46,defabel-227,defabel,"3,2",n,2,0
47,defabel-227,defabel,"0,2",n,0,0
47,defabel-227,defabel,"3,1",c,0,0
47,defabel-227,defabel,"3,2",n,0,0
4,defabel-227,defabel,"0,2",c,0,0
4,defabel-227,defabel,"3,1",p,0,0
4,defabel-227,defabel,"3,2",c,0,0
44,defabel-227,defabel,"0,2",c,2,0
44,defabel-227,defabel,"3,1",c,0,0
44,defabel-227,defabel,"3,2",c,2,0
45,defabel-301,defabel,"0,2",c,2,0
45,defabel-301,defabel,"3,1",p,0,0
45,defabel-301,defabel,"3,2",c,2,0
46,defabel-301,defabel,"0,2",c,2,0
46,defabel-301,defabel,"3,1",c,0,0
46,defabel-301,defabel,"3,2",c,2,0
47,defabel-301,defabel,"0,2",c,0,0
47,defabel-301,defabel,"3,1",c,0,0
47,defabel-301,defabel,"3,2",c,0,0
4,defabel-301,defabel,"0,2",c,0,0
4,defabel-301,defabel,"3,1",p,0,0
4,defabel-301,defabel,"3,2",c,0,0
44,defabel-301,defabel,"0,2",n,2,0
44,defabel-301,defabel,"3,1",c,0,0
44,defabel-301,defabel,"3,2",n,2,0
48,defabel-314,defabel,"0,2",n,2,0
48,defabel-314,defabel,"3,1",n,0,0
48,defabel-314,defabel,"3,2",n,2,0
49,defabel-314,defabel,"0,2",n,2,0
49,defabel-314,defabel,"3,1",n,0,0
49,defabel-314,defabel,"3,2",n,2,0
50,defabel-314,defabel,"0,2",c,2,0
50,defabel-314,defabel,"3,1",c,0,0
50,defabel-314,defabel,"3,2",n,2,0
4,defabel-314,defabel,"0,2",n,0,0
4,defabel-314,defabel,"3,1",c,0,0
4,defabel-314,defabel,"3,2",n,0,0
44,defabel-314,defabel,"0,2",n,2,0
44,defabel-314,defabel,"3,1",c,0,0
44,defabel-314,defabel,"3,2",n,2,0
63,defabel-316,defabel,"0,2",c,2,2
63,defabel-316,defabel,"3,1",n,0,2
63,defabel-316,defabel,"3,2",c,2,2
64,defabel-316,defabel,"0,2",c,1,1
64,defabel-316,defabel,"3,1",c,1,1
64,defabel-316,defabel,"3,2",c,1,1
65,defabel-316,defabel,"0,2",n,2,0
65,defabel-316,defabel,"3,1",n,2,0
65,defabel-316,defabel,"3,2",n,2,0
4,defabel-316,defabel,"0,2",n,2,0
4,defabel-316,defabel,"3,1",c,0,0
4,defabel-316,defabel,"3,2",n,2,0
44,defabel-316,defabel,"0,2",n,2,0
44,defabel-316,defabel,"3,1",c,0,0
44,defabel-316,defabel,"3,2",n,2,0
60,defabel-329,defabel,"0,2",c,2,0
60,defabel-329,defabel,"3,1",c,0,0
60,defabel-329,defabel,"3,2",c,2,0
61,defabel-329,defabel,"0,2",p,0,0
61,defabel-329,defabel,"3,1",p,0,0
61,defabel-329,defabel,"3,2",p,0,0
62,defabel-329,defabel,"0,2",p,2,1
62,defabel-329,defabel,"3,1",p,2,1
62,defabel-329,defabel,"3,2",p,2,1
4,defabel-329,defabel,"0,2",c,0,0
4,defabel-329,defabel,"3,1",c,0,0
4,defabel-329,defabel,"3,2",c,0,0
44,defabel-329,defabel,"0,2",c,2,0
44,defabel-329,defabel,"3,1",c,0,0
44,defabel-329,defabel,"3,2",c,2,0
54,defabel-372,defabel,"0,2",n,2,2
54,defabel-372,defabel,"3,1",c,2,2
54,defabel-372,defabel,"3,2",c,2,2
55,defabel-372,defabel,"0,2",n,2,2
55,defabel-372,defabel,"3,1",n,2,2
55,defabel-372,defabel,"3,2",c,2,2
56,defabel-372,defabel,"0,2",n,1,1
56,defabel-372,defabel,"3,1",c,1,1
56,defabel-372,defabel,"3,2",c,0,1
4,defabel-372,defabel,"0,2",c,2,0
4,defabel-372,defabel,"3,1",c,0,0
4,defabel-372,defabel,"3,2",c,2,0
44,defabel-372,defabel,"0,2",c,2,2
44,defabel-372,defabel,"3,1",c,2,2
44,defabel-372,defabel,"3,2",c,2,2
51,defabel-393,defabel,"0,2",p,2,1
51,defabel-393,defabel,"3,1",p,1,1
51,defabel-393,defabel,"3,2",p,2,1
52,defabel-393,defabel,"0,2",p,0,2
52,defabel-393,defabel,"3,1",p,0,2
52,defabel-393,defabel,"3,2",p,2,2
53,defabel-393,defabel,"0,2",c,1,1
53,defabel-393,defabel,"3,1",c,0,1
53,defabel-393,defabel,"3,2",c,1,1
4,defabel-393,defabel,"0,2",c,2,0
4,defabel-393,defabel,"3,1",c,0,0
4,defabel-393,defabel,"3,2",c,2,0
44,defabel-393,defabel,"0,2",c,2,0
44,defabel-393,defabel,"3,1",c,0,0
44,defabel-393,defabel,"3,2",c,2,0
41,defabel-415,defabel,"0,2",c,2,0
41,defabel-415,defabel,"3,1",c,2,0
41,defabel-415,defabel,"3,2",p,2,0
42,defabel-415,defabel,"0,2",n,2,0
42,defabel-415,defabel,"3,1",c,0,0
42,defabel-415,defabel,"3,2",n,2,0
43,defabel-415,defabel,"0,2",n,0,2
43,defabel-415,defabel,"3,1",c,2,2
43,defabel-415,defabel,"3,2",n,0,2
4,defabel-415,defabel,"0,2",c,2,0
4,defabel-415,defabel,"3,1",c,0,0
4,defabel-415,defabel,"3,2",c,2,0
44,defabel-415,defabel,"0,2",n,2,0
44,defabel-415,defabel,"3,1",c,0,0
44,defabel-415,defabel,"3,2",n,2,0
48,defabel-438,defabel,"0,2",n,2,2
48,defabel-438,defabel,"3,1",c,0,2
48,defabel-438,defabel,"3,2",n,2,2
49,defabel-438,defabel,"0,2",c,1,1
49,defabel-438,defabel,"3,1",c,1,1
49,defabel-438,defabel,"3,2",c,1,1
50,defabel-438,defabel,"0,2",c,2,2
50,defabel-438,defabel,"3,1",c,0,2
50,defabel-438,defabel,"3,2",c,0,2
4,defabel-438,defabel,"0,2",c,2,0
4,defabel-438,defabel,"3,1",c,0,0
4,defabel-438,defabel,"3,2",c,2,0
